id,type,type_label,question,axis1,axis2,quality,coherence,uniqueness,overall,quality_reasons,coherence_reasons,uniqueness_reasons
11,B,Contrast,How do these two approaches to understanding climate change — one treating it as a market failure and the other as a systemic feature of capital accumulation — lead to different assessments of potential solutions?,A1,EP1,6.5,7.0,6.4,6.6,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:937;multi_topic_overlap:4
12,C,Application,How does a government's approach to a public health crisis reveal its priorities when it comes to protecting citizens versus maintaining economic activity?,A1|D1,EP6,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,unique_text;ubiquitous_topic:844;multi_topic_overlap:3
13,A,Neutral Framing,How does the fact that most people cannot afford to buy the products they help make shape the relationship between workers and employers?,A1,EP1,6.0,7.0,6.9,6.6,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:474
14,D,Conceptual DM,"How does the financialization of everyday life — mortgages, student loans, credit cards — extend the reach of financial institutions into daily existence?",A1|D1,EP1,6.0,6.5,6.5,6.3,good_length,type_d_conceptual;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:808;multi_topic_overlap:4
15,D,Conceptual DM,How does the financialization of sports — where teams become assets for investment funds — transform the relationship between athletic competition and community identity?,A1,EP5,6.0,6.5,6.9,6.5,good_length,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:32x;unique_text;ubiquitous_topic:525
16,D,Conceptual DM,"How does the way a society organizes its productive forces — tools, technology, knowledge, labor power — shape its social and political life?",A1|A4,EP1,6.0,6.5,7.0,6.5,good_length,type_d_conceptual;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:740
17,C,Application,How has the financialization of agriculture — where investment funds buy farmland — affected food production and rural communities?,A1|F4,EP1,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:562;multi_topic_overlap:3
18,A,Neutral Framing,How might communities ensure that economic development benefits the people who already live there?,A1|J1,EP1,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:461
19,B,Contrast,How would an analysis that examines the class composition of different political movements differ from one that examines their policy positions?,A1,EP1,6.5,7.0,6.4,6.6,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:26x;low_similarity;ubiquitous_topic:607
20,E,Adversarial,"If a company provides good benefits and job security, shouldn't employees be grateful rather than demanding changes to workplace policies?",A1,EP1,6.0,7.0,6.9,6.6,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:474
21,E,Adversarial,"If a company treats its workers well compared to industry standards, shouldn't that be enough to avoid criticism?",A1,EP1,6.0,7.0,6.9,6.6,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:474
22,E,Adversarial,"If a person is unemployed, isn't the primary solution for them to look harder for work and improve their skills?",A2,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
23,E,Adversarial,"If a worker is capable of doing the job, isn't their salary determined by what the market will pay, not by their cost of living?",A1,EP1,6.0,7.0,6.4,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:626;multi_topic_overlap:3
24,A,Neutral Framing,In what ways do urban planning decisions reflect the priorities of different social groups?,A1|J1,EP1,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
25,E,Adversarial,"Is a country that allows free markets while maintaining military dominance over trade routes really practicing free trade, or is it practicing something else disguised as自由贸易?",A1|F4,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:502
26,A,Neutral Framing,How do patterns of technological innovation determine whether new tools benefit workers broadly or concentrate gains among a small group?,A1,EP1,6.0,7.0,6.9,6.6,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:740
27,E,Adversarial,"Isn't it reasonable to expect that a society with enough resources to house everyone should not tolerate people sleeping on the streets, and that homelessness is a policy choice rather than an inevitability?",A1|J1|D1,EP1,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
28,E,Adversarial,Should a country open its borders completely if it means workers will accept lower wages?,A1|B6|F5,EP1,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:716;multi_topic_overlap:4
29,E,Adversarial,Should a worker prioritize their career advancement over supporting a union organizing effort at their workplace?,A4,EP1,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:871;multi_topic_overlap:4
30,E,Adversarial,"Shouldn't patients have the right to access medications without waiting for patent protections to expire, especially when those medications are a matter of life and death?",A1|D1,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:555
31,E,Adversarial,"Shouldn't publicly funded scientific research be freely accessible to the public, since the research was paid for by taxpayers and the discoveries are built on centuries of shared knowledge?",A1|D1,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:509
32,C,Application,"The expansion of carbon trading markets has created a new asset class for emissions reductions. Has this marketized approach reduced emissions, or simply created new profit opportunities?",A1,EP5,6.5,6.0,7.9,6.8,good_length;specific_phenomenon,epoch_plausible;tags_aligned,common_tag_combo:32x;unique_text;common_topic
33,A,Neutral Framing,To what extent do workers benefit from the companies they work for?,A1,EP1,6.0,6.0,6.9,6.3,good_length,epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:474
34,A,Neutral Framing,What accounts for the observation that economic booms lift all boats unevenly?,A1,EP1,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;no_topic_match
35,B,Contrast,What alternative explanation for the concentration of wealth exists beyond the narrative of entrepreneurial success?,A1,EP1,6.0,5.5,7.4,6.3,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,common_tag_combo:26x;low_similarity;no_topic_match
36,A,Neutral Framing,What are the conditions that allow a single corporation to dominate an entire industry?,A1,EP1,6.0,7.0,7.9,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;no_topic_match
37,B,Contrast,What can an explanation based on cultural differences not account for when it comes to patterns of inequality that closely follow economic boundaries?,A1|B1,EP1,6.5,7.0,9.0,7.5,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
38,A,Neutral Framing,What difference does it make whether a person rents their home versus owns it?,A1|J1,EP1,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
39,B,Contrast,"What does a merit-based explanation of athletic success overlook that an analysis of training access, nutrition, and coaching quality would catch?",A1,EP1,6.5,7.0,6.9,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:453
40,B,Contrast,What does an analysis of family structure that focuses on individual choices overlook that an analysis of economic constraints would catch?,A1|C1|D1,EP1,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:414
41,C,Application,What does the case of Costa Rica's environmental reversal reveal about the possibility of ecological restoration under market conditions?,A1|F4,EP1,7.0,7.0,6.5,6.8,good_length;concrete_entities,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:570;multi_topic_overlap:3
42,B,Contrast,What does the focus on 'workplace happiness' overlook about the structural conditions that make work difficult or alienating?,A1,EP1,6.5,7.0,6.9,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:474
43,C,Application,"What does the rise of ESG (environmental, social, governance) investing reveal about capitalism's response to climate crisis?",A1,EP1,6.5,7.0,6.4,6.6,good_length;specific_phenomenon,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:570;multi_topic_overlap:3
44,C,Application,What does the rise of debt-based medicine in the United States reveal about the intersection of healthcare and financialization?,A1|D1,EP1,7.0,7.0,7.0,7.0,good_length;concrete_entities,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
45,A,Neutral Framing,What does the drug enforcement policy have in common with the historical management of marginalized populations?,A1|B1,EP5,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:593
46,B,Contrast,What does treating the gig economy as a choice between flexibility and stability miss about the constraints workers face?,A5,EP6,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:740
47,C,Application,What drives the growth of the private tutoring industry in countries that claim to have equitable public education?,A1|D1,EP1,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:514
48,C,Application,What explains the global wave of strikes from 2022 to 2024?,A4,EP1,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:422
49,C,Application,What happens when local communities face decisions about economic development that are shaped by global capital flows?,A1|J1|F4,EP1,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:556
50,C,Application,What has been the effect of corporate consolidation in the grocery industry on food prices and local businesses?,A1,EP1,6.0,6.0,8.9,7.0,good_length,epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;moderate_topic_overlap
51,C,Application,What has been the effect of the expansion of charter schools on public education systems and educational equity?,A1|D1,EP5,6.5,6.0,8.0,6.8,good_length;specific_phenomenon,epoch_plausible;tags_aligned,unique_text;common_topic
52,B,Contrast,What is missing from explanations of corporate tax avoidance that focus on legal loopholes without addressing the structural power of capital to set terms with governments?,A1,EP1,6.5,5.5,6.4,6.1,good_length;good_contrast_structure,type_b_no_contrast;epoch_plausible;tags_aligned,common_tag_combo:26x;low_similarity;ubiquitous_topic:556
53,B,Contrast,What is missing from explanations of the housing crisis that focus on zoning laws without addressing the financialization of real estate?,A1|J1,EP1,6.5,5.5,7.0,6.3,good_length;good_contrast_structure,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;very_common_topic
54,A,Neutral Framing,What is the relationship between housing costs and the ability of young people to form independent households?,A1|J1|G3,EP1,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
55,D,Conceptual DM,What is the tendency of the rate of profit to fall and why does it matter?,A1,EP1,6.0,6.5,7.9,6.8,good_length,type_d_conceptual;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;common_topic
56,A,Neutral Framing,What lies behind the fact that the countries contributing the least to climate change suffer its worst effects?,A1,EP1,6.0,7.0,8.9,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;moderate_topic_overlap
57,A,Neutral Framing,What makes it possible for agricultural workers to harvest food while living in poverty?,A1,EP1,6.0,7.0,6.9,6.6,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:565
58,B,Contrast,What perspective does a market-based explanation of food system failures exclude when it does not examine the power of agribusiness corporations over policy?,A1,EP1,6.5,7.0,6.9,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:539
59,B,Contrast,What perspective does an analysis of technological unemployment that focuses on the timeline of job creation exclude when it does not examine the human cost of displacement?,A1|D1,EP1,6.5,7.0,6.0,6.5,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;ubiquitous_topic:997;multi_topic_overlap:4
60,A,Neutral Framing,What prevents technological efficiency gains from translating into shorter workweeks?,A1|D1,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:756;multi_topic_overlap:3
61,C,Application,What role does the location of polluting industries play in shaping the health outcomes of different communities?,A1|B1|J1,EP1,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:423
62,A,Neutral Framing,What would happen if all workers in an industry struck for higher wages simultaneously?,A1,EP1,6.0,7.0,6.4,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:650;multi_topic_overlap:3
63,A,Neutral Framing,What's driving the increase in precarious work arrangements?,A2,EP1,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:786
64,B,Contrast,"When we examine the explanation for healthcare costs that emphasizes administrative waste versus the one that emphasizes profit extraction, what different reform strategies follow?",A1|D1,EP1,6.5,6.0,6.0,6.2,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned;loaded_terms_no_liberal_default,uncommon_tag_combo;low_similarity;ubiquitous_topic:509;multi_topic_overlap:4
65,A,Neutral Framing,Why do companies that restructure through bankruptcy leave workers with nothing while executives retain their wealth?,A1,EP1,6.0,7.0,6.4,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:810;multi_topic_overlap:3
66,A,Neutral Framing,Why do financial crises consistently result in public bailouts for institutions while individuals face foreclosure and bankruptcy?,A1,EP1,5.5,7.0,6.9,6.5,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:493
67,B,Contrast,Why do market-based solutions to social problems tend to expand the industries that profit from those problems rather than solving them?,A1,EP1,6.0,5.5,7.9,6.5,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;common_topic
68,A,Neutral Framing,Why do modern labor markets still reflect hierarchical relationships that originated in slavery and feudalism?,A1|B1,EP1|EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:562
69,B,Contrast,Why do performance evaluation systems that reward individual achievement undermine collective cooperation and solidarity?,A4,EP1,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:461
70,A,Neutral Framing,Why do strikes keep losing?,A4,EP1,3.5,7.0,10.0,6.8,short;leading_framing,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;unique_topic
71,A,Neutral Framing,Why do the financial instruments and credit systems that govern modern economies have origins in medieval banking practices?,A1,EP1|EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:525
72,A,Neutral Framing,Why do wages stagnate even when productivity keeps rising?,A1|E1,EP1,5.5,7.0,7.5,6.7,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
73,A,Neutral Framing,Why do workers in the same industry struggle to organize across different employers and locations?,A3|A4,EP1,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:647
74,A,Neutral Framing,Why do workers who use their own equipment and vehicles for work bear the costs of business operations while companies keep the profits?,A5,EP1,5.5,7.0,6.5,6.3,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:848;multi_topic_overlap:3
75,C,Application,Why has the concentration of extreme wealth grown dramatically while wage stagnation has affected the majority of workers?,A1,EP5,6.0,7.0,6.4,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:32x;unique_text;ubiquitous_topic:650;multi_topic_overlap:3
76,C,Application,Why have international labor standards remained weak despite global production networks?,A1,EP1,6.0,7.0,6.9,6.6,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;ubiquitous_topic:740
77,C,Application,Why have streaming services invested billions in original content while the industry faces profitability challenges?,A1,EP6,6.5,7.0,7.9,7.1,good_length;specific_phenomenon,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;common_topic
78,C,Application,"With the rise of influencer marketing, how has the boundary between advertising and personal relationships blurred, and what does this mean for consumer autonomy?",A1,EP6,6.0,7.0,7.9,7.0,good_length,type_c_application_present;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;common_topic
79,A,Neutral Framing,A city's police budget receives more funding than its mental health services. What structural factors explain this allocation choice?,B1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:844;multi_topic_overlap:3
80,B,Contrast,A company's diversity report highlights demographic numbers but does not address promotion patterns. How might we understand the difference between representation and power?,B3,EP1,6.5,7.0,8.0,7.2,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
81,B,Contrast,A film studio casts white actors in roles written as characters of color. What does this practice tell us about who controls cultural representation?,B3,EP1,6.0,7.0,9.0,7.3,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
82,B,Contrast,A healthcare study excludes participants who cannot read English. What does this methodological choice do to the validity of the findings for multilingual communities?,B3|D1,EP1,7.5,7.0,7.5,7.3,good_length;concrete_entities;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
83,C,Application,A hiring algorithm flags resumes from certain neighborhoods as lower quality. What forces shape whose applications get filtered out by automated screening systems?,B3,EP6,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:414
84,B,Contrast,A housing developer markets luxury units as 'upgrading' a neighborhood. What assumptions underlie this language of improvement?,B4|J1,EP1,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:788;multi_topic_overlap:3
85,E,Adversarial,A museum acquires a work by an artist from an underrepresented group. Isn't this progress in cultural representation?,B7,EP1,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
86,B,Contrast,A museum acquires artifacts from colonized territories. What does the debate over repatriation reveal about who gets to decide cultural heritage's fate?,B3|F3,EP1,6.0,7.0,7.5,6.8,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
87,A,Neutral Framing,A neighborhood's air quality deteriorates near industrial zones. What conditions enable certain communities to bear environmental hazards others avoid?,B1|J1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:782;multi_topic_overlap:3
88,B,Contrast,"A neighborhood's property values rise as new amenities arrive, but long-term residents can no longer afford to stay. What emerges when community improvement means community displacement?",B4|J1,EP1,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:607
89,A,Neutral Framing,A neighborhood's tree canopy coverage correlates with income levels. What conditions produce this environmental inequality?,B1|J1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:706;multi_topic_overlap:3
90,B,Contrast,A restaurant chain uses traditional designs from a culture it does not belong to. What does this practice reveal about who benefits from cultural borrowing?,B3,EP1,6.0,7.0,7.0,6.7,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:414
91,A,Neutral Framing,A school district's funding depends on local property taxes. How might we understand educational inequality when wealth and race map onto the same zip codes?,B1|D1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:414;multi_topic_overlap:4
92,B,Contrast,A content platform removes material from certain regions while leaving similar content from others untouched. What does this selective enforcement reveal about power?,B3,EP6,6.0,7.0,7.0,6.7,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:768
93,A,Neutral Framing,A town holds a referendum on building affordable housing. What structural barriers prevent residents from voting for projects that would help their neighbors?,B1|J1,EP1,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
94,A,Neutral Framing,A university's legacy admission preference favors applicants from certain families. How might this practice reproduce racial and class hierarchies across generations?,B1|D1,EP1,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:622;multi_topic_overlap:3
95,A,Neutral Framing,What causes mass incarceration?,B1,EP1,2.0,7.0,10.0,6.3,too_short;overly_vague,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;unique_topic
96,B,Contrast,What does the focus on 'colorblind' policies overlook about how race continues to shape economic outcomes?,B7,EP1,6.5,7.0,9.0,7.5,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
97,B,Contrast,Why do anti-discrimination laws that focus on individual acts of prejudice not address systemic patterns of racial inequality?,B7,EP1,6.0,5.5,8.0,6.5,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
98,A,Neutral Framing,Why are certain ethnic groups disproportionately funneled into prison while similar behaviors by other groups are treated as youth mistakes?,B1|B7,EP1,5.5,7.0,7.0,6.5,good_length;repeated_verb,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:581
99,A,Neutral Framing,Why do neighborhoods with predominantly Black residents consistently receive less public investment than similar white neighborhoods?,B2|J3,EP1,5.5,7.0,6.5,6.3,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:566;multi_topic_overlap:3
100,A,Neutral Framing,"Why do police budgets absorb resources that could fund housing, healthcare, and education in the communities most policed?",B1|J3,EP1,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:484;multi_topic_overlap:4
101,B,Contrast,A city's park redesign removes a community garden that women organized. How might we understand the relationship between public space design and informal labor?,C1|J1,EP1,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:786
102,A,Neutral Framing,A city's public spaces lack nursing rooms and accessible playgrounds. What conditions enable urban design to assume a male default user?,C1|J1,EP1,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
103,C,Application,A company's parental leave policy gives more weeks to birthing parents than to adopting parents. What does this distinction reveal about how workplaces value different kinds of care?,C1|D1,EP1,5.5,7.0,6.5,6.3,good_length;repeated_verb,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:760;multi_topic_overlap:4
104,A,Neutral Framing,A company's performance reviews use subjective language that penalizes women for assertiveness. How might we understand the relationship between evaluation systems and gendered behavior?,C1,EP1,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:593
105,B,Contrast,A corporate leadership program targets 'high-potential' employees identified by managers. How might we understand the relationship between sponsorship and gendered access to opportunity?,C1,EP1,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:593
